peraturan akademik perak pens,"Pasal 1 : Pengertian umum
Pasal 2 : Penyelenggaraan program pendidikan
 Pasal 3 : Minggu Pembelajaran
Pasal 4 : Pengertian SKS
Pasal 5 : Beban studi dan waktu studi
Pasal 6 : Ketentuan pemberlaukan peraturan akademik
Pasal 7 : Pendaftaran mahasiswa baru
Pasal 8 : Perpindahan Mahasiswa antar Program Studi di PENS dan dari Perguruan Tinggi Lain
Pasal 9 : Biaya pendidkan
Pasal 10 : Mahasiswa baru
Pasal 11 : Daftar ulang mahasiswa
Pasal 12 : Bentuk kegiatan akademik
Pasal 13 : Kuliah, Praktikum/Praktik, Workshop, Seminar, Penelitian, dan Kerja Praktik
Pasal 14 : Persyaratan Penyelenggaraan Perkuliahan
Pasal 15 : Persyaratan Penyelenggaraan Praktikum/Praktik dan Workshop
Pasal 16 : Persyaratan Penyelenggaraan Seminar
Pasal 17 : Persyaratan Penyelenggaraan Penelitian
Pasal 18 : Persyaratan Penyelenggaraan Kerja Praktik
Pasal 19 : Kedisiplinan
Pasal 20 : Ketidakhadiran
Pasal 21 : Tidak hadir tanpa ijin
Pasal 22 : Kompensasi
Pasal 23 : Ujian Tengah Semester, Ujian Akhir Semester dan Ujian Perbaikan
Pasal 24 : Evaluasi Proses Belajar Mengajar
Pasal 25 : Tata Tertib Ujian Semester dan Ujian Perbaikan
Pasal 26 : Evaluasi perkuliahan
Pasal 27 : Evaluasi Praktikum/Praktik dan Workshop
Pasal 28 : Evaluasi Proyek Akhir/Tesis/Disertasi
Pasal 29 : Bobot Evaluasi
Pasal 30 : Pelaksanaan Program Pascasarjana Terapan dan Pendidikan Jarak Jauh
Pasal 31 : Kenaikan semester
Pasal 32 : Naik semester percobaan
Pasal 33 : Kelulusan
Pasal 34 : Berhenti Studi Sementara (Cuti)
Pasal 35 : Berhenti Studi Tanpa Ijin
Pasal 36 : Kegiatan Ekstra Kurikuler
Pasal 37 : Ketentuan Pemberian Sanksi
Pasal 38 : Pencabutan Status Kemahasiswaan
Pasal 39 : Kewenangan memberi sanksi
Pasal 40 : Hal-hal lain"
peraturan akademik perak pasal 1 pens,"Pasal 1 
Pengertian Umum

Dalam peraturan ini yang dimaksud dengan: 
(1) PENS adalah Politeknik Elektronika Negeri Surabaya. 
(2) Direktur adalah Direktur Politeknik Elektronika Negeri Surabaya. 
(3) Pimpinan PENS adalah Direktur dan Wakil Direktur.
(4) Departemen adalah organ akademik di PENS yang menyelenggarakan dan mengelola beberapa Program Studi dengan dasar keilmuan yang sejenis. 
(5) Kadep adalah Kepala Departemen di lingkungan PENS. 
(6) Ka Pasca adalah Kepala program Pascasarjana di lingkungan PENS. 
(7) Program Studi merupakan unsur dari Departemen di lingkungan PENS, yang  menyelenggarakan proses kegiatan belajar mengajar dalam satu cabang keilmuan dan keahlian tertentu. 
(8) Kaprodi adalah Ketua Program Studi di lingkungan PENS. 
(9) Dosen adalah pendidik profesional dan ilmuwan di PENS. 
(10) Mahasiswa adalah peserta didik yang terdaftar dan belajar di PENS. 
(11) PJJ adalah Program Pendidikan Jarak Jauh di PENS yang pembelajarannya menggunakan berbagai sumber belajar melalui teknologi informasi dan komunikasi serta media lain. 
(12) MBKM adalah program Merdeka Belajar Kampus Merdeka 
(13) BAAK adalah Bagian Administrasi Akademik PENS yang bertugas untuk 
mengelola administrasi proses akademik di lingkungan PENS."
peraturan akademik perak pasal 2 pens,"Pasal 2
Penyelenggaraan Program Pendidikan

(1) PENS menyelenggarakan program pendidikan rekayasa terapan dengan jenjang pendidikan Diploma, Sarjana Terapan, Magister Terapan dan Doktor Terapan.
(2) Program pendidikan di PENS ditekankan pada pembentukan kepribadian dan keahlian terapan yang menguasai secara seimbang antara kemampuan teoritis dan praktis untuk mencapai capaian pembelajaran yang telah ditetapkan dalam kurikulum masing-masing program studi.
(3) PENS mengembangkan Program Pendidikan Jarak Jauh dan program pendidikan yang lain sesuai dengan kebutuhan dan peraturan yang berlaku. "
peraturan akademik perak pasal 3 pens,"Pasal 3
Pelaksanaan Program Pendidikan

(1) Pelaksanaan kegiatan yang melekat dalam program pendidikan jenjang Diploma, Sarjana Terapan dan Pascasarjana diatur dalam pedoman pembelajaran.
(2) Pelaksanaan kegiatan yang melekat pada program Pendidikan Jarak Jauh dan pendidikan lain yang diselenggarakan di PENS diatur dalam pedoman tersendiri. "
peraturan akademik perak pasal 4 pens,"Pasal 4
Kualifikasi Lulusan Program Pendidikan

Kualifikasi lulusan program pendidikan di PENS mengacu pada jenjang yang telah ditetapkan di Kerangka Kualifikasi Nasional Indonesia (KKNI) dan peraturan lain yang berlaku. "
peraturan akademik perak pasal 5 pens,"Pasal 5
Beban dan Waktu Studi

(1) Beban belajar mahasiswa dinyatakan dalam satuan kredit semester (sks).
(2) Program Diploma 2 mempunyai paling sedikit 72 (tujuh puluh dua) sks dengan masa studi paling lama 3 (tiga) tahun akademik.
(3) Program Diploma 3 mempunyai paling sedikit 108 (seratus delapan) sks dengan masa studi paling lama 5 (lima) tahun akademik.
(4) Program Sarjana Terapan mempunyai paling sedikit 144 (seratus empat puluh empat) sks dengan masa studi paling lama 7 (tujuh) tahun akademik.
(5) Program Magister Terapan mempunyai paling sedikit 36 (tiga puluh enam) sks dengan masa studi paling lama 4 (empat) tahun akademik.
(6) Program Doktor Terapan mempunyai paling sedikit 42 (empat puluh dua) sks dengan masa studi paling lama 7 (tujuh) tahun akademik.
(7) Masa studi paling lama bagi mahasiswa melalui jalur Rekognisi Pembelajaran
Lampau dihitung berdasarkan selisih masa studi maksimum jenjang terkait dengan masa studi yang ditempuh pada jenjang sebelumnya.
(8) Program pendidikan lain yang diselenggarakan di PENS memiliki beban dan masa studi sesuai peraturan yang berlaku."
peraturan akademik perak pasal 6 pens,"Pasal 6
Satuan Kredit Semester (SKS)

(1) Bentuk pembelajaran 1 (satu) sks pada proses pembelajaran berupa Kuliah, Responsi, atau Tutorial, terdiri atas:
a. kegiatan proses belajar 50 (lima puluh) menit per minggu per semester
b. kegiatan penugasan terstruktur 60 (enam puluh) menit per minggu per semester dan
c. kegiatan mandiri 60 (enam puluh) menit per minggu per semester.
(2) Bentuk pembelajaran 1 (satu) sks pada proses pembelajaran berupa Seminar atau bentuk lain yang sejenis, terdiri atas:
a. kegiatan proses belajar 100 (seratus) menit per minggu per semester, dan
b. kegiatan mandiri 70 (tujuh puluh) menit per minggu per semester.
(3) Bentuk pembelajaran 1 (satu) sks pada proses pembelajaran berupa Praktikum, Praktik Studio, Praktik Bengkel, dan Workshop sebesar 170 (seratus tujuh puluh) menit per minggu per semester, berupa:
a. Praktik Studio/Praktik Bengkel/ Workshop terdiri atas kegiatan proses terjadwal 150 (seratus lima puluh) menit per minggu per semester dan kegiatan tidak terjadwal 20 (dua puluh) menit per minggu per semester,
b. Praktikum terdiri atas kegiatan proses terjadwal minimal 100 (seratus) menit per minggu per semester dan kegiatan tidak terjadwal maksimal 70
(tujuh puluh) menit per minggu per semester.
(4) Bentuk pembelajaran 1 (satu) sks pada proses pembelajaran berupa Praktik Lapangan, Praktik Kerja, Penelitian, Perancangan, atau Pengembangan, Pelatihan Militer, Pertukaran Pelajar, Magang, Wirausaha, dan/atau bentuk lain Pengabdian kepada Masyarakat, sebesar 170 (seratus tujuh puluh) menit kegiatan per minggu per semester.
(5)Perhitungan beban belajar dalam sistem blok, modul atau bentuk lain ditetapkan sesuai dengan kebutuhan untuk memenuhi capaian pembelajaran. "
peraturan akademik perak pasal 7 pens,"Pasal 7
Semester dan Minggu Pembelajaran

(1) Satu tahun akademik terdiri atas dua semester dan semester antara yang dilaksanakan pada tiap perpindahan semester.
(2) Satu semester terdiri atas 16 (enam belas) minggu pembelajaran termasuk evaluasi.
(3) Semester Antara dilaksanakan selama 8 (delapan) minggu pembelajaran, terhitung sejak awal semester berjalan dengan tatap muka paling sedikit 16 (enam belas) kali pertemuan termasuk evaluasi. "
peraturan akademik perak pasal 8 pens,"Pasal 8
Semester Antara

(1) Semester Antara adalah semester pembelajaran yang ditempatkan pada rentang waktu diantara perpindahan semester.
(2) Semester Antara digunakan untuk melakukan perbaikan nilai dan/atau percepatan masa studi.
(3) Mahasiswa diijinkan mengambil program percepatan masa studi yang dijalankan oleh Program Studi, apabila memiliki IPS 2 3.50 pada semester sebelumnya.
(4) Beban belajar mahasiswa dalam Semester Antara paling banyak 9 (sembilan) sks.
(5) Mahasiswa yang menempuh Semester Antara harus memenuhi kewajiban administrasi dan biaya penyelenggaraan pendidikan untuk Semester Antara sesuai dengan ketentuan yang berlaku di PENS."
peraturan akademik perak pasal 9 pens,"Pasal 9
Jalur Penerimaan Mahasiswa Baru

(1) PENS menerima mahasiswa baru dari dalam maupun luar negeri melalui Seleksi Penerimaan.
(2) Seleksi Penerimaan mahasiswa baru dilakukan melalui :
a. Jalur Nasional, yaitu seleksi penerimaan yang dilakukan secara nasional, bersama-sama dengan institusi Perguruan Tinggi Negeri yang lain,
b. Jalur Mandiri, yaitu seleksi penerimaan yang dilakukan secara lokal dalam bentuk tes atau dalam bentuk penyetaraan Rekognisi Pembelajaran Lampau,
c. Jalur Khusus yaitu seleksi penerimaan yang dilakukan secara lokal terutama untuk penerimaan mahasiswa dalam bentuk kerjasama dan mahasiswa dari luar negeri, yang diatur dalam pedoman Penerimaan Mahasiswa.
(3) Penerimaan Mahasiswa Baru dilaksanakan sebelum awal semester sesuai dengan ketentuan yang berlaku.
(4) Daya tampung mahasiswa baru yang akan diterima di PENS ditetapkan oleh Direktur sebelum Penerimaan Mahasiswa Baru.
(5) Ketentuan lebih lanjut tentang syarat dan tata cara Penerimaan Mahasiswa Baru diatur dalam pedoman Penerimaan Mahasiswa. "
